TRACT_NAME,GEOID_TRACT,GEOID_NUM,NBHD_ID,NBHD_NAME,DIST_NUM,STFID,Nmbr_Age25Plus_NoDiplomaOrGED,Pct_Age25Plus_NoDiplomaOrGED,Nmbr_Age25Plus_NoCollDegree,Pct_Age25Plus_NoCollDegree,Nmbr_Age25Plus_LessThanBA,Pct_Age25Plus_LessThanBA,Nmbr_PopulationUnder18,Pct_PopulationUnder18,Nmbr_PopulationOver70,Pct_PopulationOver70,Nmbr_Age25Plus,Pct_Age25Plus,Nmbr_OccupiedUnitsWithRenters,Pct_OccupiedUnitsWithRenters,Nmbr_OccupiedUnitsWithOwners,Pct_OccupiedUnitsWithOwners,Nmbr_OccupiedUnits,Nmbr_HouseholdsCostBurdened,Pct_HouseholdsCostBurdened,Median_HouseholdIncome,Nmbr_PerCapitaIncome,Nmbr_PopulationPovDetermined,Nmbr_PopulationInPoverty,Pct_PopulationInPoverty,Nmbr_HouseholdsNoVehAccess,Pct_HouseholdsNoVehAccess,Nmbr_Households,Nmbr_PopulationWithDisability,Pct_PopulationWithDisability,Nmbr_PopCivilianNonInstitution,Nmbr_Population,Nmbr_Under18SingleParentFam,Pct_Under18InSingleParentFam,Nmbr_PopUnder18InHouseholds,Nmbr_PopulationDensity,Nmbr_PopNonHispanicWhite,Pct_PopNonHispanicWhite,Nmbr_PopulationMinority,Pct_PopulationMinority,Pct_PopOver16Unemployed
Census Tract 83.12,8031008312,8031008312,45,Montbello,8,8031008312,1243,26.34032634,3523,74.65564738,3980,84.33990252,2014,28.12849162,416,5.81005587,4719,65.90782123,1220,47.54481684,1346,52.45518316,2566,1237,48.20732658,60219,24929,7110,346,4.86638537,232,9.04130943,2566,568,7.9396142,7154,7160,464,23.0387289,2014,7208.466122,753,10.51675978,6407,89.48324022,9.7
Census Tract 7.04,8031000704,8031000704,74,West Colfax,1,8031000704,132,6.12244898,814,37.75510204,849,39.37847866,902,27.55881454,98,2.99419493,2156,65.87228842,671,53.89558233,574,46.10441767,1245,353,28.35341365,96921,57940,3225,339,10.51162791,195,15.6626506,1245,191,5.92248062,3225,3273,239,26.49667406,902,11761.53514,2186,66.7888787,1087,33.2111213,4.5
Census Tract 7.03,8031000703,8031000703,74,West Colfax,1,8031000703,180,9.80926431,894,48.71934605,949,51.71662125,248,11.70363379,268,12.64747522,1835,86.59745163,880,70.79646018,363,29.20353982,1243,531,42.71922767,46811,41825,2119,198,9.3440302,324,26.06596943,1243,400,18.87682869,2119,2119,30,12.09677419,248,11485.91661,1046,49.36290703,1073,50.63709297,7
Census Tract 27.04,8031002704,8031002704,9,Capitol Hill,10,8031002704,112,5.85161964,551,28.78787879,847,44.25287356,0,0,259,12.96945418,1914,95.84376565,1608,95.03546099,84,4.96453901,1692,845,49.94089835,40742,41885,1997,218,10.91637456,703,41.54846336,1692,596,29.84476715,1997,1997,0,None,0,14995.67851,1360,68.10215323,637,31.89784677,4.8
Census Tract 17.07,8031001707,8031001707,10,CBD,9,8031001707,62,4.37235543,345,24.33004231,361,25.4583921,20,0.81967213,128,5.24590164,1418,58.1147541,651,51.25984252,619,48.74015748,1270,508,40,113152,135301,2065,692,33.51089588,347,27.32283465,1270,157,6.43442623,2440,2440,13,100,13,9891.056499,1785,73.1557377,655,26.8442623,2.4
Census Tract 119.02,8031011902,8031011902,6,Bear Valley,2,8031011902,244,5.63380282,2142,49.45740014,2446,56.4765643,1083,18.63065543,1102,18.95750903,4331,74.50541889,985,36.48148148,1715,63.51851852,2700,1055,39.07407407,58152,36269,5813,392,6.74350593,191,7.07407407,2700,850,14.72626473,5772,5813,577,53.27793167,1083,6157.293697,3217,55.341476,2596,44.658524,2.1
Census Tract 24.05,8031002405,8031002405,26,Five Points,9,8031002405,224,7.50921891,1235,41.40127389,1428,47.87127053,464,11.8974359,189,4.84615385,2983,76.48717949,1795,74.38872772,618,25.61127228,2413,690,28.59510982,85123,61718,3854,805,20.88738972,493,20.43099876,2413,618,15.84615385,3900,3900,372,80.17241379,464,17723.85686,1745,44.74358974,2155,55.25641026,8.4
Census Tract 41.10,8031004110,8031004110,60,Central Park,8,8031004110,340,10.00294204,1764,51.89761695,1846,54.3100912,1290,25.70745317,98,1.95296931,3399,67.73614986,278,26.62835249,766,73.37164751,1044,236,22.60536398,146667,44311,3208,128,3.99002494,25,2.39463602,1044,166,5.17456359,3208,5018,201,15.58139535,1290,1997.729722,3574,71.22359506,1444,28.77640494,8.2
Census Tract 43.09,8031004309,8031004309,46,Montclair,5,8031004309,250,7.65696784,1041,31.88361409,1194,36.56967841,648,16.20405101,236,5.90147537,3265,81.64541135,721,36.78571429,1239,63.21428571,1960,684,34.89795918,93235,63661,3999,235,5.87646912,65,3.31632653,1960,175,4.37609402,3999,3999,165,25.46296296,648,7771.549483,2570,64.26606652,1429,35.73393348,3.5
Census Tract 48.01,8031004801,8031004801,35,Harvey Park South,2,8031004801,237,9.74506579,1388,57.07236842,1531,62.95230263,828,23.65714286,381,10.88571429,2432,69.48571429,158,12.61980831,1094,87.38019169,1252,244,19.48881789,100585,41399,3500,57,1.62857143,29,2.31629393,1252,388,11.08571429,3500,3500,44,5.31400966,828,6467.705269,1435,41,2065,59,0
